Expected team outcome    Serial position    Valence High            Valence Low
-----------------------  -----------------  ----------------------  -------------------
High                     1                  0.118[0.045, 0.191]     0.100[0.092, 0.107]
                         2                  -0.002[-0.060, 0.055]   0.321[0.314, 0.329]
                         3                  -0.017[-0.071, 0.037]   0.345[0.337, 0.352]
                         4                  -0.199[-0.252, -0.146]  0.178[0.171, 0.186]

Low                      1                  -0.002[-0.055, 0.051]   0.090[0.083, 0.097]
                         2                  0.201[0.152, 0.249]     0.373[0.366, 0.380]
                         3                  0.234[0.183, 0.284]     0.400[0.393, 0.406]
                         4                  0.080[0.029, 0.131]     0.239[0.232, 0.246]
